Model,Prompt,N,Correct,Accuracy,CI Lower,CI Upper
gemini,cot,131,104,0.7938931297709924,0.716733738492647,0.8543072504838295
gemini,tot,131,106,0.8091603053435115,0.7334438580403313,0.8672615978959621
groq,cot,131,109,0.8320610687022901,0.7588015983551507,0.8864005580208684
groq,tot,131,117,0.8931297709923665,0.8285947262262152,0.9352652979890717
mistral,cot,131,103,0.7862595419847328,0.7084323611915201,0.8477763943050479
mistral,tot,131,111,0.8473282442748091,0.7759248009704179,0.8989418223654179
