Model,Prompt,Difficulty,N,StepCount Coef (log-odds),StepCount Odds Ratio,StepCount p-value,StepCount Significant,Pseudo R2
gemini,cot,Hard,40,0.14846182042030412,1.1600485067645112,0.21920655951194679,False,0.033480867620009014
gemini,tot,Hard,40,-0.17971458868278473,0.8355086410061754,0.23119288455953868,False,0.027106495075225445
groq,cot,Hard,40,-0.045562479550475043,0.955459904001705,0.7320159139882326,False,0.002175187352835506
groq,tot,Hard,40,0.03394772964236602,1.034530530034038,0.8502291611091701,False,0.0006883723633887007
mistral,cot,Hard,40,-0.09085128746946411,0.9131534981698618,0.09207740968336096,False,0.09781680764434264
mistral,tot,Hard,40,-0.0017358672424379535,0.9982656385037192,0.9260715370128324,False,0.0001561997675662008
